name,latitude,longitude,scientificName,publishingCountry,stateProvince,year,month,day,eventDate,individualCount
Asclepias speciosa Torr.,40.41522,-102.268162,Asclepias speciosa Torr.,US,Colorado,2022,1,15,2022-01-15,NA
Asclepias speciosa Torr.,39.76361,-104.86303,Asclepias speciosa Torr.,US,Colorado,2022,1,20,2022-01-20,NA
Asclepias speciosa Torr.,40.124685,-104.805017,Asclepias speciosa Torr.,US,Colorado,2022,1,8,2022-01-08,NA
Asclepias speciosa Torr.,39.743456,-104.846371,Asclepias speciosa Torr.,US,Colorado,2022,1,5,2022-01-05,NA
Asclepias speciosa Torr.,40.714189,-102.287711,Asclepias speciosa Torr.,US,Colorado,2022,1,20,2022-01-20,NA
Asclepias speciosa Torr.,40.668798,-102.158394,Asclepias speciosa Torr.,US,Colorado,2022,1,19,2022-01-19,NA
Asclepias speciosa Torr.,39.552666,-119.832599,Asclepias speciosa Torr.,US,Nevada,2022,1,23,2022-01-23,NA
Asclepias speciosa Torr.,40.937699,-102.317547,Asclepias speciosa Torr.,US,Colorado,2022,1,22,2022-01-22,NA
Asclepias speciosa Torr.,40.086903,-105.256303,Asclepias speciosa Torr.,US,Colorado,2022,1,31,2022-01-31,NA
Asclepias speciosa Torr.,40.051631,-105.289938,Asclepias speciosa Torr.,US,Colorado,2022,3,3,2022-03-03,NA
Asclepias speciosa Torr.,40.509837,-111.912162,Asclepias speciosa Torr.,US,Utah,2022,3,1,2022-03-01,NA
Asclepias speciosa Torr.,42.822541,-112.404436,Asclepias speciosa Torr.,US,Idaho,2022,3,12,2022-03-12,NA
Asclepias speciosa Torr.,42.82245,-112.40467,Asclepias speciosa Torr.,US,Idaho,2022,3,23,2022-03-23,NA
Asclepias speciosa Torr.,42.896354,-115.873692,Asclepias speciosa Torr.,US,Idaho,2021,1,2,2021-01-02,NA
Asclepias speciosa Torr.,42.900252,-115.873901,Asclepias speciosa Torr.,US,Idaho,2021,1,2,2021-01-02,NA
Asclepias speciosa Torr.,42.901239,-115.876249,Asclepias speciosa Torr.,US,Idaho,2021,1,1,2021-01-01,NA
Asclepias speciosa Torr.,42.855644,-115.799,Asclepias speciosa Torr.,US,Idaho,2021,1,2,2021-01-02,NA
Asclepias speciosa Torr.,42.896026,-115.875689,Asclepias speciosa Torr.,US,Idaho,2021,1,2,2021-01-02,NA
Asclepias speciosa Torr.,42.899962,-115.876035,Asclepias speciosa Torr.,US,Idaho,2021,1,2,2021-01-02,NA
