name,latitude,longitude,scientificName,publishingCountry,stateProvince,year,month,day,eventDate,individualCount
Asclepias speciosa Torr.,42.642,-114.089361,Asclepias speciosa Torr.,US,Idaho,2021,6,20,2021-06-20,1
Asclepias speciosa Torr.,38.568428,-109.547691,Asclepias speciosa Torr.,FR,NA,2020,5,29,2020-05-29,1
Asclepias speciosa Torr.,37.923442,-122.036982,Asclepias speciosa Torr.,FR,NA,2020,5,26,2020-05-26,1
Asclepias speciosa Torr.,39.101589,-108.372378,Asclepias speciosa Torr.,FR,NA,2020,5,30,2020-05-30,1
Asclepias speciosa Torr.,35.327781,-106.433538,Asclepias speciosa Torr.,FR,NA,2020,5,16,2020-05-16,1
Asclepias speciosa Torr.,35.506631,-97.579405,Asclepias speciosa Torr.,FR,NA,2020,5,28,2020-05-28,1
Asclepias speciosa Torr.,41.285556,-122.298611,Asclepias speciosa Torr.,FR,NA,2020,5,28,2020-05-28,1
Asclepias speciosa Torr.,36.278028,-97.899886,Asclepias speciosa Torr.,FR,NA,2020,5,24,2020-05-24,1
Asclepias speciosa Torr.,40.533669,-122.333594,Asclepias speciosa Torr.,FR,NA,2020,5,26,2020-05-26,1
Asclepias speciosa Torr.,39.159875,-108.743269,Asclepias speciosa Torr.,FR,NA,2020,5,29,2020-05-29,1
Asclepias speciosa Torr.,39.437851,-108.04168,Asclepias speciosa Torr.,FR,NA,2020,6,18,2020-06-18,1
Asclepias speciosa Torr.,41.09675,-95.767213,Asclepias speciosa Torr.,FR,NA,2020,6,17,2020-06-17,1
Asclepias speciosa Torr.,41.108614,-95.943617,Asclepias speciosa Torr.,FR,NA,2020,6,23,2020-06-23,1
Asclepias speciosa Torr.,41.63444,-91.518215,Asclepias speciosa Torr.,FR,NA,2020,6,27,2020-06-27,1
Asclepias speciosa Torr.,47.947778,-103.968611,Asclepias speciosa Torr.,FR,NA,2020,6,22,2020-06-22,1
Asclepias speciosa Torr.,39.591707,-104.882557,Asclepias speciosa Torr.,FR,NA,2020,6,8,2020-06-08,1
Asclepias speciosa Torr.,41.67865,-88.14052,Asclepias speciosa Torr.,FR,NA,2020,6,23,2020-06-23,1
Asclepias speciosa Torr.,38.770986,-104.852658,Asclepias speciosa Torr.,FR,NA,2020,6,13,2020-06-13,1
Asclepias speciosa Torr.,41.17005,-112.01761,Asclepias speciosa Torr.,FR,NA,2020,6,14,2020-06-14,1
Asclepias speciosa Torr.,40.186511,-105.150531,Asclepias speciosa Torr.,FR,NA,2020,6,16,2020-06-16,1
Asclepias speciosa Torr.,39.651993,-106.932533,Asclepias speciosa Torr.,FR,NA,2020,6,18,2020-06-18,1
Asclepias speciosa Torr.,50.047142,-119.397108,Asclepias speciosa Torr.,FR,NA,2020,6,26,2020-06-26,1
Asclepias speciosa Torr.,39.702869,-105.083885,Asclepias speciosa Torr.,FR,NA,2020,6,15,2020-06-15,1
Asclepias speciosa Torr.,42.83872,-106.375265,Asclepias speciosa Torr.,FR,NA,2020,6,22,2020-06-22,1
Asclepias speciosa Torr.,43.2034,-112.358942,Asclepias speciosa Torr.,FR,NA,2020,6,16,2020-06-16,1
Asclepias speciosa Torr.,38.816029,-104.766072,Asclepias speciosa Torr.,FR,NA,2020,6,27,2020-06-27,1
Asclepias speciosa Torr.,40.88092,-111.847096,Asclepias speciosa Torr.,FR,NA,2020,6,15,2020-06-15,1
